Compiling 4 files (.ex)
Generated multigraph app
operation,n,trial,iterations,microseconds,reductions,post_gc_bytes,result_flat_words
incoming_partition,128,1,500,354,54524,2696,21
incoming_partition,128,2,500,289,54524,2696,21
incoming_partition,128,3,500,290,54524,2696,21
outgoing_partition,128,1,500,302,61091,2696,21
outgoing_partition,128,2,500,299,61091,2696,21
outgoing_partition,128,3,500,298,61091,2696,21
incident_partition,128,1,500,299,61091,2696,21
incident_partition,128,2,500,304,61091,2696,21
incident_partition,128,3,500,302,61091,2696,21
single_relabel,128,1,500,790,92149,372208,27924
single_relabel,128,2,500,755,92149,372208,27924
single_relabel,128,3,500,758,92149,372208,27924
consume_all,128,1,128,328,24496,372208,27939
consume_all,128,2,128,317,24496,372208,27939
consume_all,128,3,128,319,24496,372208,27939
incoming_partition,512,1,500,977,55523,2696,21
incoming_partition,512,2,500,986,55523,2696,21
incoming_partition,512,3,500,938,55523,2696,21
outgoing_partition,512,1,500,1535,59738,2696,21
outgoing_partition,512,2,500,1033,59738,2696,21
outgoing_partition,512,3,500,978,59738,2696,21
incident_partition,512,1,500,932,59738,2696,21
incident_partition,512,2,500,933,59738,2696,21
incident_partition,512,3,500,927,59738,2696,21
single_relabel,512,1,500,1078,93144,1574032,110904
single_relabel,512,2,500,1072,93144,1574032,110904
single_relabel,512,3,500,1070,93144,1574032,110904
consume_all,512,1,512,1618,99226,973120,110753
consume_all,512,2,512,1475,99226,973120,110753
consume_all,512,3,512,1469,99226,973120,110753
incoming_partition,2048,1,500,324,52269,2696,21
incoming_partition,2048,2,500,326,52269,2696,21
incoming_partition,2048,3,500,324,52269,2696,21
outgoing_partition,2048,1,500,240,59268,2696,21
outgoing_partition,2048,2,500,239,59268,2696,21
outgoing_partition,2048,3,500,239,59268,2696,21
incident_partition,2048,1,500,240,59268,2696,21
incident_partition,2048,2,500,239,59268,2696,21
incident_partition,2048,3,500,245,59268,2696,21
single_relabel,2048,1,500,3433,102110,4119536,442956
single_relabel,2048,2,500,2224,95894,4119536,442956
single_relabel,2048,3,500,2218,95886,4119536,442956
consume_all,2048,1,2048,6218,398582,6665056,443479
consume_all,2048,2,2048,5965,397790,6665056,443479
consume_all,2048,3,2048,5977,397746,6665056,443479
incoming_partition,8192,1,500,291,52269,2696,21
incoming_partition,8192,2,500,291,52269,2696,21
incoming_partition,8192,3,500,292,52269,2696,21
outgoing_partition,8192,1,500,319,59268,2696,21
outgoing_partition,8192,2,500,322,59268,2696,21
outgoing_partition,8192,3,500,337,59268,2696,21
incident_partition,8192,1,500,313,59268,2696,21
incident_partition,8192,2,500,322,59268,2696,21
incident_partition,8192,3,500,314,59268,2696,21
single_relabel,8192,1,500,5474,109718,16583496,1771696
single_relabel,8192,2,500,5388,109518,16583496,1771696
single_relabel,8192,3,500,5345,109606,16583496,1771696
consume_all,8192,1,8192,27027,1534842,16583512,1769581
consume_all,8192,2,8192,27489,1535082,16583512,1769581
consume_all,8192,3,8192,27254,1534346,16583512,1769581
